object_layer,startTime,neigborhoodSize,epsilon,minPts,similarity[%],AVGclusterheight,endTime
object_8_layer_2.png,1829519329834,10,1.0,3,2.126736111111111,3.2563758389261745,1829553604114
object_8_layer_3.png,1829558641670,10,1.0,3,2.9405381944444446,3.266754270696452,1829610718057
object_8_layer_4.png,1829611005824,10,1.0,3,2.5065104166666665,3.2910737386804656,1829640859093
object_8_layer_5.png,1829641097006,10,1.0,3,3.7543402777777777,3.328457446808511,1829677405298
object_8_layer_6.png,1829677693462,10,1.0,3,3.634982638888889,3.3783783783783785,1829699260660
object_8_layer_7.png,1829699508017,10,1.0,3,2.8428819444444446,3.380566801619433,1829730320624
object_8_layer_8.png,1829730554733,10,1.0,3,3.1901041666666665,3.4137022397891963,1829760646084
object_8_layer_9.png,1829760885437,10,1.0,3,3.244357638888889,3.4616402116402116,1829830776637
object_8_layer_10.png,1829831013777,10,1.0,3,4.253472222222222,3.4252717391304346,1829893390751
object_8_layer_11.png,1829893686690,10,1.0,3,3.8411458333333335,3.4413702239789195,1829924771961
object_8_layer_12.png,1829925044994,10,1.0,3,3.0815972222222223,3.4749661705006765,1829950435048
object_8_layer_13.png,1829950673186,10,1.0,3,2.9839409722222223,3.5313351498637604,1829972750415
object_8_layer_14.png,1829972995237,10,1.0,3,3.1901041666666665,3.467877094972067,1829994485766
object_8_layer_15.png,1829994744972,10,1.0,3,3.7543402777777777,3.5169606512890095,1830023106585
object_8_layer_16.png,1830023344970,10,1.0,3,3.0815972222222223,3.496542185338866,1830061706222
object_8_layer_17.png,1830061959669,10,1.0,3,2.6475694444444446,3.5653370013755157,1830076483457
object_8_layer_18.png,1830076714369,10,1.0,3,2.24609375,3.561181434599156,1830103277986
object_8_layer_19.png,1830103514522,10,1.0,3,2.9296875,3.572842998585573,1830132258616
object_8_layer_20.png,1830132497506,10,1.0,3,3.244357638888889,3.5735900962861074,1830143064183
object_8_layer_1.png,1831249481838,15,1.0,3,0.5967881944444444,3.5629522431259044,1831282780547
object_8_layer_2.png,1831283050067,15,1.0,3,0.10850694444444445,3.5670103092783507,1831309375727
object_8_layer_3.png,1831309604934,15,1.0,3,0.4123263888888889,3.557017543859649,1831362041226
object_8_layer_4.png,1831362175580,15,1.0,3,0.09765625,3.551824817518248,1831370391678
object_8_layer_5.png,1831370633834,15,1.0,3,0.20616319444444445,3.5597667638483963,1831397514227
object_8_layer_6.png,1831397871639,15,1.0,3,0.3038194444444444,3.537463976945245,1831444546184
object_8_layer_7.png,1831444761986,15,1.0,3,0.29296875,3.557496360989811,1831452471011
object_8_layer_8.png,1831452677339,15,1.0,3,0.3472222222222222,3.543103448275862,1831516250439
object_8_layer_9.png,1831516495638,15,1.0,3,0.3580729166666667,3.55206847360913,1831528270454
object_8_layer_10.png,1831528481405,15,1.0,3,0.7378472222222222,3.55316091954023,1831539864212
object_8_layer_11.png,1831540273462,15,1.0,3,0.6401909722222222,3.5534950071326676,1831545938987
object_8_layer_12.png,1831546143049,15,1.0,3,0.5316840277777778,3.5681818181818183,1831573705023
object_8_layer_13.png,1831573971171,15,1.0,3,0.5316840277777778,3.5625,1831628183023
object_8_layer_14.png,1831628397802,15,1.0,3,0.1953125,3.5534950071326676,1831656319133
object_8_layer_15.png,1831656571428,15,1.0,3,0.6401909722222222,3.55148095909732,1831666352546
object_8_layer_16.png,1831666566576,15,1.0,3,0.4340277777777778,3.5586987270155586,1831690021698
object_8_layer_17.png,1831690255004,15,1.0,3,0.16276041666666666,3.5446808510638297,1831703430521
object_8_layer_18.png,1831703646771,15,1.0,3,0.10850694444444445,3.5316455696202533,1831754520287
object_8_layer_19.png,1831754661220,15,1.0,3,0.3689236111111111,3.533707865168539,1831759199112
object_8_layer_20.png,1831759406767,15,1.0,3,0.5208333333333334,3.5217391304347827,1831764100026
object_8_layer_1.png,1832820730763,15,1.0,3,0.2170138888888889,3.5317348377997178,1832862216167
object_8_layer_2.png,1832863181022,15,1.0,3,0.6293402777777778,3.531824611032532,1832909211965
object_8_layer_3.png,1832909464502,15,1.0,3,0.9006076388888888,3.4930747922437675,1832934103432
object_8_layer_4.png,1832934341995,15,1.0,3,0.4665798611111111,3.5020689655172412,1832953478806
object_8_layer_5.png,1832953721579,15,1.0,3,1.26953125,3.488340192043896,1832969023948
object_8_layer_6.png,1832969247762,15,1.0,3,0.9006076388888888,3.480378890392422,1832996613484
object_8_layer_7.png,1832996848146,15,1.0,3,0.8029513888888888,3.5034387895460797,1833003552305
object_8_layer_8.png,1833003782462,15,1.0,3,0.9548611111111112,3.4863760217983653,1833015180379
object_8_layer_9.png,1833015409423,15,1.0,3,1.26953125,3.4925975773889637,1833035150430
object_8_layer_10.png,1833035287206,15,1.0,3,1.7144097222222223,3.4898236092265944,1833055221612
object_8_layer_11.png,1833055463669,15,1.0,3,1.7252604166666667,3.5033557046979866,1833074455427
object_8_layer_12.png,1833074798805,15,1.0,3,1.07421875,3.5067385444743935,1833093478733
object_8_layer_13.png,1833093707019,15,1.0,3,1.2369791666666667,3.5194109772423023,1833110356551
